geom;voltage;typ;lat;lon;v_id
67;8.38855643052221;49.9823050863709;substation;"380000;110000";010100002031BF0D0063D921A9637F2C41C0B746FD32945841
68;8.58869053015616;49.8155140535631;substation;"220000;110000";010100002031BF0D00E1651350712D2D413DD0B4CD0C785841
69;8.41235670467832;49.7102661278933;substation;"380000;220000";010100002031BF0D00DB7F8B8716942C4119F29C5A56665841
70;12.262173544509;51.7410202813412;substation;"380000;110000";010100002031BF0D0061033DEA1AD434414660255826C35941
71;11.8942662085419;51.4057031779769;substation;"380000;110000";010100002031BF0D0006AB5EA81F3434413B00DB877F885941
72;13.1570905224719;51.8284516784236;substation;380000;010100002031BF0D00133B069E40593641C10982A383D25941
73;13.9024347133056;51.874723530085;substation;"380000;110000";010100002031BF0D003985FCF35B9D3741B41DC95EA8DA5941
74;11.5165549994374;51.5843592162484;substation;"380000;110000";010100002031BF0D009272C909E18F3341F3A00498B1A75941
75;8.70221847039735;51.7363525890089;substation;"380000;110000";010100002031BF0D001084CB0E2D902D41C866709254C25941
76;8.99279304217181;51.343011245012;substation;"380000;110000";010100002031BF0D00FECED648E28C2E41584DCA8C947D5941
77;11.6463786860412;50.5348769896165;substation;"380000;220000;110000";010100002031BF0D0092FFE5F154C83341C95150E728F25841
78;14.4719654746961;51.5538127702297;substation;"380000;110000";010100002031BF0D0003DDD1D30395384116E257EC59A25941
79;14.5081092115389;51.4137104048148;substation;380000;010100002031BF0D008FE26D54BBA43841F9C17DCAE4895941
80;14.4281805295455;51.888864175856;substation;"380000;110000";010100002031BF0D00D0D0A9B5F9813841088204E425DD5941
81;8.14191383627294;53.5640011817982;plant;;010100002031BF0D0015AA9867E3A82B41201599FEE2095B41
82;10.1562825155965;54.2755482828972;substation;"220000;110000";010100002031BF0D007165AF326040314190F1A7E13C8D5B41
83;10.1773541403957;54.3395212785126;generator;;010100002031BF0D00F9856AE1894931412D2B566628995B41
84;7.03496796550368;52.2028607768236;substation;"380000;220000;110000";010100002031BF0D003214741A32E6274113206E2EA6145A41
85;7.30819841516103;52.4768390414786;substation;"380000;220000;110000";010100002031BF0D0048D435DAD1D328413A56B8E465455A41
86;7.0603070176736;51.6964760578548;substation;"380000;220000;110000";010100002031BF0D00421169903BFC27418863B05955BB5941
87;7.54571775348996;51.9703244532995;substation;"380000;110000";010100002031BF0D0027707DEA62A22941DD59CC6082EB5941
88;7.30561452011125;52.4801491936499;plant;;010100002031BF0D00C9769D9392D12841B4B21A25FD455A41
89;7.27715397426964;52.7532426203196;substation;"380000;110000";010100002031BF0D00C96B5126D2B82841621DEC11E3765A41
90;8.30775699263504;52.3456356701243;substation;"380000;220000;110000";010100002031BF0D0021255D8E1E392C41078AFEED032E5A41
91;7.88957673752775;52.2773967844269;substation;"380000;220000;110000";010100002031BF0D00995C7A546FCD2A41244E64A6E1215A41
92;7.31784997667688;52.4691115144199;substation;220000;010100002031BF0D001BC58CAA36DC2841631D97D704445A41
93;13.3352804208787;49.5896898733245;substation;;010100002031BF0D003A0244A0BCA63641DC73D09017525841
94;12.2147735094259;54.1003234808405;substation;380000;010100002031BF0D00196C025E7EBF34413D2756D3AE6C5B41
95;6.99647662277982;49.3754093214106;substation;"380000;220000;110000";010100002031BF0D007ECF136EB8C427417AD71D8F3C2E5841
96;6.4748631643492;49.922329177378;substation;"380000;220000;110000";010100002031BF0D00E8C5D9F014FF25412A763EDE108A5841
97;11.6993927384808;53.5722744896829;substation;380000;010100002031BF0D00F485367162DF33410DDF22B3660B5B41
98;11.3706374165175;53.6009910913085;substation;"380000;110000";010100002031BF0D00F22034916D50334134FADA02A9105B41
99;6.9482175871963;51.4446013475548;substation;"380000;110000";010100002031BF0D0071756316C09A27412B6660A5478F5941
100;6.92675898550662;51.4992056970517;substation;"380000;220000";010100002031BF0D00825CF490168827412DA7E742CF985941
101;6.68078802838152;51.6462959493574;substation;"380000;220000;110000";010100002031BF0D00C0FFC3D72BB22641D843A58A89B25941
102;7.16721463545721;51.3899067765993;substation;"380000;220000;110000";010100002031BF0D00171F045E3559284198B020ECBE855941
103;7.12557294579876;51.4489772806916;substation;"380000;220000";010100002031BF0D00CFA3CA4DFE342841C225EA0B0B905941
104;6.99606886995841;51.5141696109019;substation;"380000;110000";010100002031BF0D006B18F8A55DC42741D1C871546C9B5941
105;7.31318287435069;51.4466114132712;substation;380000;010100002031BF0D001266599627D82841183F6A66A18F5941
106;7.99288732000281;51.6837077158762;substation;380000;010100002031BF0D00D4F7F84A48272B4187B3EC2318B95941
107;8.62480055555283;51.4278884079658;substation;"380000;110000";010100002031BF0D00DE2BE4CFD84C2D4133121B875D8C5941
108;7.35311188155085;51.5758105365035;substation;380000;010100002031BF0D0043B23E57E1FA2841114841BF32A65941
109;7.12323886855291;51.5256121997715;substation;"380000;110000";010100002031BF0D0032F3B4A5F6322841747CC9196C9D5941
110;8.211706018158;51.1779854932409;substation;"380000;110000";010100002031BF0D003ABA6EDD95E52B41DCE5E478E9605941
111;6.57648211320418;51.0555954842661;generator;;010100002031BF0D008A05B54775572641206E6074B74B5941
