geom;i_th_max;c;x;r;length_m;frequency;wires;cables;voltage;v_id_2;v_id_1;l_id
85;34;81;220000;3;2;50;2341;0.09364;0.74912;26.9215;6.0866;010200002031BF0D0002000000D93A74CF20982B41982E77B23F095B4115AA9867E3A82B41201599FEE2095B41
86;82;83;220000;3;2;50;13652;0.54608;4.36864;156.998;35.4952;010200002031BF0D00020000007165AF326040314190F1A7E13C8D5B41F9856AE1894931412D2B566628995B41
87;82;24;220000;3;1;50;31608;2.52864;10.11456;363.492;41.0904;010200002031BF0D00020000007165AF326040314190F1A7E13C8D5B411A6D37CCB385304153321A9231905B41
88;84;85;380000;3;4;50;46347;0.289669;11.58675;634.9539;482.0088;010200002031BF0D00020000003214741A32E6274113206E2EA6145A4148D435DAD1D328413A56B8E465455A41
89;86;85;380000;3;4;50;110034;0.687713;27.5085;1507.4658;1144.3536;010200002031BF0D0002000000421169903BFC27418863B05955BB594148D435DAD1D328413A56B8E465455A41
90;87;85;380000;3;4;50;69879;0.436744;17.46975;957.3423;726.7416;010200002031BF0D000200000027707DEA62A22941DD59CC6082EB594148D435DAD1D328413A56B8E465455A41
91;88;85;380000;3;4;50;1071;0.006694;0.26775;14.6727;11.1384;010200002031BF0D0002000000C9769D9392D12841B4B21A25FD455A4148D435DAD1D328413A56B8E465455A41
92;88;85;380000;3;4;50;1070;0.006688;0.2675;14.659;11.128;010200002031BF0D0002000000C9769D9392D12841B4B21A25FD455A4148D435DAD1D328413A56B8E465455A41
93;85;89;380000;3;4;50;46736;0.2921;11.684;640.2832;486.0544;010200002031BF0D000200000048D435DAD1D328413A56B8E465455A41C96B5126D2B82841621DEC11E3765A41
94;90;85;380000;3;4;50;74417;0.465106;18.60425;1019.5129;773.9368;010200002031BF0D000200000021255D8E1E392C41078AFEED032E5A4148D435DAD1D328413A56B8E465455A41
95;85;91;380000;3;4;50;60192;0.3762;15.048;824.6304;625.9968;010200002031BF0D000200000048D435DAD1D328413A56B8E465455A41995C7A546FCD2A41244E64A6E1215A41
96;85;92;220000;3;2;50;1321;0.05284;0.42272;15.1915;3.4346;010200002031BF0D000200000048D435DAD1D328413A56B8E465455A411BC58CAA36DC2841631D97D704445A41
97;93;63;380000;3;;;110113;;;;;010200002031BF0D00020000003A0244A0BCA63641DC73D09017525841D9859A6901943441E624EE6F0C595841
98;42;94;380000;3;4;50;35731;0.223319;8.93275;489.5147;371.6024;010200002031BF0D0002000000BF08B9F268B3344156553CCF1B385B41196C025E7EBF34413D2756D3AE6C5B41
99;95;96;380000;3;4;;94562;0.591013;23.6405;1295.4994;983.4448;010200002031BF0D00020000007ECF136EB8C427417AD71D8F3C2E5841E8C5D9F014FF25412A763EDE108A5841
100;42;94;380000;3;4;50;35716;0.223225;8.929;489.3092;371.4464;010200002031BF0D0002000000BF08B9F268B3344156553CCF1B385B41196C025E7EBF34413D2756D3AE6C5B41
101;42;97;380000;3;4;50;47163;0.294769;11.79075;646.1331;490.4952;010200002031BF0D0002000000BF08B9F268B3344156553CCF1B385B41F485367162DF33410DDF22B3660B5B41
102;98;42;380000;3;4;50;71640;0.44775;17.91;981.468;745.056;010200002031BF0D0002000000F22034916D50334134FADA02A9105B41BF08B9F268B3344156553CCF1B385B41
103;99;86;380000;3;4;50;40436;0.252725;10.109;553.9732;420.5344;010200002031BF0D000200000071756316C09A27412B6660A5478F5941421169903BFC27418863B05955BB5941
104;100;99;380000;3;4;50;16660;0.104125;4.165;228.242;173.264;010200002031BF0D0002000000825CF490168827412DA7E742CF98594171756316C09A27412B6660A5478F5941
105;101;86;380000;3;4;50;36585;0.228656;9.14625;501.2145;380.484;010200002031BF0D0002000000C0FFC3D72BB22641D843A58A89B25941421169903BFC27418863B05955BB5941
106;102;103;380000;3;;50;24754;;;;;010200002031BF0D0002000000171F045E3559284198B020ECBE855941CFA3CA4DFE342841C225EA0B0B905941
107;104;103;380000;3;4;50;14687;0.091794;3.67175;201.2119;152.7448;010200002031BF0D00020000006B18F8A55DC42741D1C871546C9B5941CFA3CA4DFE342841C225EA0B0B905941
